criterion,heuristic,max_depth,mean_accuracy,std_accuracy,mean_f1,std_f1
information_gain,False,10,0.8636623215394165,0.03186984528245816,0.862592685035677,0.03274818767521274
gini,False,10,0.8614432029795157,0.027021497494860817,0.8611836449556713,0.027189836274531955
information_gain,True,10,0.8380602110490379,0.03467249816375862,0.8360039747588452,0.035706898243064625
gini,True,10,0.8374829298572315,0.03348988574342557,0.8352365833784698,0.0352011410771842
information_gain,False,5,0.7813066418373681,0.04519310913552955,0.7816814356142701,0.04822364418658117
information_gain,True,5,0.7696151458721291,0.043554590299154546,0.7672786570839025,0.0475532027799636
gini,False,5,0.666691495965239,0.04036259522139553,0.6562426272874948,0.03682945883967967
gini,True,5,0.6577746741154562,0.03880094875549102,0.6427824921170704,0.03513296027545074
