criterion,heuristic,max_depth,mean_accuracy,std_accuracy,mean_f1,std_f1
gini,False,10,0.9073684210526316,0.0318366676522876,0.9060944084021445,0.03379832929898247
gini,False,5,0.891842105263158,0.04438639830590714,0.8902265255288169,0.045202771904390766
information_gain,False,5,0.8813157894736842,0.07279015869069161,0.8783163383238577,0.07218996155649154
information_gain,False,10,0.876578947368421,0.07950199913861292,0.8743153426594091,0.07884155196590076
information_gain,True,5,0.8710526315789474,0.06238562942699841,0.8570982752960535,0.07322963746705188
information_gain,True,10,0.8710526315789474,0.06238562942699841,0.8570982752960535,0.07322963746705188
gini,True,5,0.8755263157894737,0.05999826867308183,0.8549101747059693,0.08468821515029627
gini,True,10,0.8755263157894737,0.05999826867308183,0.8549101747059693,0.08468821515029627
