criterion,heuristic,max_depth,mean_accuracy,std_accuracy,mean_f1,std_f1
information_gain,True,5,0.9238845144356954,0.010299956362387681,0.9238806419964133,0.010299985311252062
information_gain,True,10,0.9238845144356954,0.010299956362387681,0.9238806419964133,0.010299985311252062
gini,True,5,0.9233595800524934,0.009593525922570623,0.9233086741211297,0.009605796838433987
gini,True,10,0.9233595800524934,0.009593525922570623,0.9233086741211297,0.009605796838433987
information_gain,False,5,0.9220472440944881,0.011857592648899226,0.9220541406691053,0.011852902219235356
gini,False,5,0.9217847769028872,0.010872606392235163,0.9217666819969936,0.010888400526946283
information_gain,False,10,0.9183727034120736,0.010462536182674415,0.9183680952132098,0.010465347755660657
gini,False,10,0.9170603674540683,0.008720864947945495,0.9170311016548475,0.008781488136861585
