criterion,heuristic,max_depth,mean_accuracy,std_accuracy,mean_f1,std_f1
gini,True,10,0.8560372960372961,0.0309297220081405,0.8560469884468562,0.030773621422987663
gini,True,5,0.853006993006993,0.03371457854701548,0.8530040450743854,0.03362521480851607
information_gain,True,5,0.8513986013986014,0.017304533001035467,0.8511890956422038,0.017140032881454246
information_gain,True,10,0.8483682983682984,0.0212116729377055,0.8480473828823841,0.021178390959255226
information_gain,False,5,0.8254079254079254,0.02995424159554507,0.8247434988509385,0.030608682843440434
gini,False,5,0.8193473193473194,0.030929862547638954,0.8192143003243094,0.030804769079723602
information_gain,False,10,0.8131934731934732,0.03174551330141981,0.8129595535444898,0.03174023525629136
gini,False,10,0.8023776223776224,0.042331644121933146,0.8022871090548801,0.04239634998908254
